versione,braccio,modello,seed,parola,esito,scambi_run
v3,llm,claude-haiku-4-5,8,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,8,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,8,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,8,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,9,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,9,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,9,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,9,TIN,GIUSTA,72
v3,llm,claude-haiku-4-5,9,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,9,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,9,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,9,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,10,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,10,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,10,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,10,TIN,GIUSTA,72
v3,llm,claude-haiku-4-5,10,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,10,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,10,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,10,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,11,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,11,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,11,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,11,TIN,GIUSTA,72
v3,llm,claude-haiku-4-5,11,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,11,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,11,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,11,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,12,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,12,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,12,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,12,TIN,GIUSTA,72
v3,llm,claude-haiku-4-5,12,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,12,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,12,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,12,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,13,GUMO,irrisolta,76
v3,llm,claude-haiku-4-5,13,NUR,GIUSTA,76
v3,llm,claude-haiku-4-5,13,TAK,GIUSTA,76
v3,llm,claude-haiku-4-5,13,TIN,GIUSTA,76
v3,llm,claude-haiku-4-5,13,ZAKA,GIUSTA,76
v3,llm,claude-haiku-4-5,13,ZEFU,GIUSTA,76
v3,llm,claude-haiku-4-5,13,ZIBO,GIUSTA,76
v3,llm,claude-haiku-4-5,13,ZUMU,GIUSTA,76
v3,llm,claude-haiku-4-5,14,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,14,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,14,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,14,TIN,GIUSTA,72
v3,llm,claude-haiku-4-5,14,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,14,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,14,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,14,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,15,GUMO,irrisolta,76
v3,llm,claude-haiku-4-5,15,NUR,GIUSTA,76
v3,llm,claude-haiku-4-5,15,TAK,GIUSTA,76
v3,llm,claude-haiku-4-5,15,TIN,GIUSTA,76
v3,llm,claude-haiku-4-5,15,ZAKA,GIUSTA,76
v3,llm,claude-haiku-4-5,15,ZEFU,GIUSTA,76
v3,llm,claude-haiku-4-5,15,ZIBO,GIUSTA,76
v3,llm,claude-haiku-4-5,15,ZUMU,GIUSTA,76
v3,llm,claude-haiku-4-5,16,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,16,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,16,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,16,TIN,GIUSTA,72
v3,llm,claude-haiku-4-5,16,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,16,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,16,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,16,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,17,GUMO,irrisolta,76
v3,llm,claude-haiku-4-5,17,NUR,GIUSTA,76
v3,llm,claude-haiku-4-5,17,TAK,GIUSTA,76
v3,llm,claude-haiku-4-5,17,TIN,GIUSTA,76
v3,llm,claude-haiku-4-5,17,ZAKA,GIUSTA,76
v3,llm,claude-haiku-4-5,17,ZEFU,GIUSTA,76
v3,llm,claude-haiku-4-5,17,ZIBO,GIUSTA,76
v3,llm,claude-haiku-4-5,17,ZUMU,GIUSTA,76
v3,llm,claude-haiku-4-5,18,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,18,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,18,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,18,TIN,GIUSTA,72
v3,llm,claude-haiku-4-5,18,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,18,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,18,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,18,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,19,GUMO,irrisolta,76
v3,llm,claude-haiku-4-5,19,NUR,GIUSTA,76
v3,llm,claude-haiku-4-5,19,TAK,GIUSTA,76
v3,llm,claude-haiku-4-5,19,TIN,GIUSTA,76
v3,llm,claude-haiku-4-5,19,ZAKA,GIUSTA,76
v3,llm,claude-haiku-4-5,19,ZEFU,GIUSTA,76
v3,llm,claude-haiku-4-5,19,ZIBO,GIUSTA,76
v3,llm,claude-haiku-4-5,19,ZUMU,GIUSTA,76
v3,llm,claude-haiku-4-5,20,GUMO,irrisolta,76
v3,llm,claude-haiku-4-5,20,NUR,GIUSTA,76
v3,llm,claude-haiku-4-5,20,TAK,GIUSTA,76
v3,llm,claude-haiku-4-5,20,TIN,GIUSTA,76
v3,llm,claude-haiku-4-5,20,ZAKA,GIUSTA,76
v3,llm,claude-haiku-4-5,20,ZEFU,GIUSTA,76
v3,llm,claude-haiku-4-5,20,ZIBO,GIUSTA,76
v3,llm,claude-haiku-4-5,20,ZUMU,GIUSTA,76
v3,llm,claude-haiku-4-5,21,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,21,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,21,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,21,TIN,GIUSTA,72
v3,llm,claude-haiku-4-5,21,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,21,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,21,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,21,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,22,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,22,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,22,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,22,TIN,GIUSTA,72
v3,llm,claude-haiku-4-5,22,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,22,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,22,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,22,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,23,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,23,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,23,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,23,TIN,GIUSTA,72
v3,llm,claude-haiku-4-5,23,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,23,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,23,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,23,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,24,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,24,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,24,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,24,TIN,GIUSTA,72
v3,llm,claude-haiku-4-5,24,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,24,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,24,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,24,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,25,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,25,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,25,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,25,TIN,GIUSTA,72
v3,llm,claude-haiku-4-5,25,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,25,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,25,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,25,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,26,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,26,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,26,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,26,TIN,GIUSTA,72
v3,llm,claude-haiku-4-5,26,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,26,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,26,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,26,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,27,GUMO,irrisolta,76
v3,llm,claude-haiku-4-5,27,NUR,GIUSTA,76
v3,llm,claude-haiku-4-5,27,TAK,GIUSTA,76
v3,llm,claude-haiku-4-5,27,TIN,GIUSTA,76
v3,llm,claude-haiku-4-5,27,ZAKA,GIUSTA,76
v3,llm,claude-haiku-4-5,27,ZEFU,GIUSTA,76
v3,llm,claude-haiku-4-5,27,ZIBO,GIUSTA,76
v3,llm,claude-haiku-4-5,27,ZUMU,GIUSTA,76
v3,llm,claude-haiku-4-5,28,GUMO,GIUSTA,80
v3,llm,claude-haiku-4-5,28,NUR,GIUSTA,80
v3,llm,claude-haiku-4-5,28,TAK,GIUSTA,80
v3,llm,claude-haiku-4-5,28,TIN,GIUSTA,80
v3,llm,claude-haiku-4-5,28,ZAKA,GIUSTA,80
v3,llm,claude-haiku-4-5,28,ZEFU,GIUSTA,80
v3,llm,claude-haiku-4-5,28,ZIBO,GIUSTA,80
v3,llm,claude-haiku-4-5,28,ZUMU,GIUSTA,80
v3,llm,claude-haiku-4-5,29,GUMO,irrisolta,76
v3,llm,claude-haiku-4-5,29,NUR,GIUSTA,76
v3,llm,claude-haiku-4-5,29,TAK,GIUSTA,76
v3,llm,claude-haiku-4-5,29,TIN,GIUSTA,76
v3,llm,claude-haiku-4-5,29,ZAKA,GIUSTA,76
v3,llm,claude-haiku-4-5,29,ZEFU,GIUSTA,76
v3,llm,claude-haiku-4-5,29,ZIBO,GIUSTA,76
v3,llm,claude-haiku-4-5,29,ZUMU,GIUSTA,76
